src/api/utils.js: line 54, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 68, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 82, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 91, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 115, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 126, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 130, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').

src/batch.js: line 13, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/batch.js: line 56, col 56, 'Trailing comma in arguments lists' is only available in ES8 (use 'esversion: 8').
src/batch.js: line 72, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/activeusers.js: line 9, col 33, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/create.js: line 14, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 113, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 129, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 156, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 209, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 216, col 37, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 239, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 245, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/create.js: line 250, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/data.js: line 17, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 34, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 39, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 43, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 48, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 53, col 39, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 58, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/data.js: line 62, col 43, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/delete.js: line 13, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/delete.js: line 14, col 57, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/delete.js: line 15, col 45, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/delete.js: line 21, col 47, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/delete.js: line 29, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/delete.js: line 57, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/delete.js: line 86, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/index.js: line 27, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 33, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 65, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/categories/index.js: line 67, col 17, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/categories/index.js: line 70, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 82, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 87, col 33, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 92, col 39, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 97, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 102, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 106, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 127, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 154, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 209, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 220, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 227, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 243, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 256, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 258, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 309, col 33, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/categories/index.js: line 356, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 361, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 366, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/index.js: line 373, col 29, 'object rest property' is only available in ES9 (use 'esversion: 9').

src/categories/recentreplies.js: line 15, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 27, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 46, col 40, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 69, col 40, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 97, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 108, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 168, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/recentreplies.js: line 174, col 40, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/search.js: line 10, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/search.js: line 65, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/search.js: line 77, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/topics.js: line 14, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 29, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 31, col 43, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/categories/topics.js: line 74, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 91, col 39, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 123, col 45, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 134, col 33, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 138, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 175, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 190, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 191, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 204, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 210, col 42, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/topics.js: line 213, col 68, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/unread.js: line 6, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/unread.js: line 18, col 37, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/unread.js: line 27, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/unread.js: line 38, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/update.js: line 12, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 18, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 45, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 62, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 90, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 99, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 134, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/update.js: line 139, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').

src/categories/watch.js: line 14, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/watch.js: line 15, col 13, Confusing use of '!'.
src/categories/watch.js: line 22, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/watch.js: line 23, col 13, Confusing use of '!'.
src/categories/watch.js: line 37, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/watch.js: line 42, col 37, 'async functions' is only available in ES8 (use 'esversion: 8').
src/categories/watch.js: line 48, col 37, 'async functions' is only available in ES8 (use 'esversion: 8').

src/cli/index.js: line 134, col 41, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/cli/index.js: line 144, col 41, 'object spread property' is only available in ES9 (use 'esversion: 9').

src/cli/manage.js: line 17, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
